Speed_Diff,Attack_Diff,Defense_Diff,Sp. Atk_Diff,Sp. Def_Diff,HP_Diff,Type_Win_Score,p1_win
-26,14,11,-9,34,-6,-1.5,0
36,64,85,30,60,-20,0.0,1
-60,-55,170,-100,135,-110,0.0,0
-68,-10,-40,-67,-30,-31,1.5,0
-53,-33,81,-28,33,-15,0.0,0
70,40,50,4,50,46,0.0,0
61,78,68,1,1,-1,0.0,1
27,-40,-33,35,5,2,0.0,1
-20,25,-10,-60,-40,-30,-1.0,0
-6,-36,-27,-20,-25,-12,1.0,0
-16,5,-37,-35,-37,20,0.0,0
-38,-95,-10,-13,-20,-21,0.0,0
17,18,-43,-14,25,7,-1.5,1
23,-10,-3,3,-12,-21,0.0,1
2,-52,2,-12,72,-3,0.0,1
5,29,-15,39,-40,-13,0.0,1
7,79,30,7,20,49,0.0,1
27,-2,12,-30,-6,-21,0.0,1
16,20,-15,-25,-15,-32,0.0,1
53,-27,-31,38,35,7,0.0,1
45,100,55,75,30,50,-1.0,1
15,-30,5,-5,-30,-15,-1.5,1
-28,-47,10,11,10,-11,1.0,0
-21,-70,-16,15,-73,-9,0.0,0
-95,-74,152,-99,145,-58,-1.0,0
70,-16,-23,54,19,-9,0.0,1
-80,-10,16,-86,11,-26,0.0,0
-7,13,-45,13,-45,-11,0.0,0
10,68,23,35,15,44,0.0,1
10,30,34,5,34,-90,1.0,1
-40,-15,-10,-25,-35,-50,0.0,0
35,25,-53,3,-50,-5,0.0,1
37,-26,12,-1,12,-54,0.0,1
-10,45,10,-50,-30,25,0.0,0
-85,-50,-13,-65,-3,0,0.0,0
-22,-17,15,1,-5,0,0.0,0
-10,7,12,48,8,20,0.0,0
-41,-35,-57,-40,-57,-5,0.0,0
-21,-52,-32,-35,-15,-50,0.0,0
60,-21,-67,-5,-50,8,0.0,0
-5,-27,-35,-78,-10,-25,-1.0,0
-51,-78,-13,-38,57,-30,1.5,0
45,20,-35,55,-35,105,0.0,1
-32,-41,16,24,36,-3,0.0,0
-5,20,-40,-20,-90,-50,0.0,0
-5,-50,-10,-18,2,-16,0.0,0
-66,-11,44,56,21,-8,0.0,0
25,30,12,33,24,8,0.0,1
-50,-35,-15,0,-60,-65,-1.0,0
-47,-71,-46,-14,-46,-47,0.0,0
-45,15,25,-30,-55,-25,0.0,0
-31,-45,-36,-12,-36,-31,1.0,0
15,25,-25,25,-40,-10,0.0,1
83,10,20,57,40,-5,0.0,1
16,-23,10,-23,-20,-20,1.5,1
-55,-14,8,-14,11,-12,0.0,0
55,-53,5,12,5,5,0.0,1
-24,-44,-33,-27,-31,-37,0.0,0
0,-50,-55,-25,-15,-15,0.0,0
70,65,-4,-35,11,50,0.0,1
40,-50,-25,25,-55,-35,0.0,1
5,-45,-10,15,-5,-30,0.0,1
10,12,-17,-35,-10,-21,0.0,1
-1,-29,-5,36,33,-24,0.0,0
9,-14,-40,11,-35,10,0.0,1
2,-20,-25,5,-35,-17,0.0,1
-50,10,30,-10,-5,30,0.0,0
65,65,10,30,40,25,0.0,1
19,35,60,95,40,21,0.0,1
26,45,-11,5,55,65,1.0,1
-42,-65,-3,5,-55,10,0.0,0
-47,-43,12,-9,17,5,0.0,0
-130,-5,155,5,15,14,0.0,0
-30,10,0,-60,-20,-20,0.0,0
19,23,-12,20,0,15,0.0,1
-70,40,75,-15,-50,30,0.0,1
60,10,15,75,10,-10,0.0,1
5,20,45,-65,-30,10,0.0,1
11,30,0,-55,0,-30,0.0,1
11,0,20,-10,15,-56,0.0,1
-70,20,-35,-35,-35,-35,-1.0,0
-40,-60,20,30,-10,-10,0.0,0
20,10,-15,70,50,25,0.0,1
25,-29,3,10,10,-32,0.0,1
5,0,23,3,-5,6,0.0,1
5,44,23,60,20,3,0.0,1
-70,-20,-10,-10,-20,-25,0.0,0
40,-7,-63,-57,-73,-15,0.0,0
10,45,50,35,45,5,0.0,1
-50,-30,-20,-5,-79,-36,0.0,0
55,30,10,15,0,25,0.0,1
-3,-5,13,8,9,17,1.0,0
-22,80,20,-20,-50,12,0.0,0
31,35,72,55,37,10,0.0,1
-64,-7,25,-17,25,33,0.0,0
7,74,55,39,10,10,0.0,1
50,0,-20,-28,0,-45,-1.0,0
-15,-35,-70,-45,-15,-5,0.0,0
29,15,-14,52,-35,-20,-1.0,1
47,0,72,25,70,77,0.0,1
-10,25,-70,-35,-80,-75,0.0,0
-50,-10,-5,-125,-105,-23,0.0,0
25,22,50,-5,15,-30,0.0,1
19,-69,-45,30,15,-32,0.0,1
-35,20,50,85,0,5,1.0,1
-65,-35,-5,-50,-25,0,0.0,0
-2,4,18,44,-5,3,0.0,0
-70,-5,-20,10,0,0,0.0,0
57,43,47,78,77,5,0.0,1
10,40,5,40,-10,-5,-1.5,1
-3,-47,-13,-12,22,-15,1.0,0
-84,-41,35,-119,-35,-11,0.0,0
5,0,20,50,45,0,0.0,0
-70,-98,-35,-93,-65,-26,0.0,0
9,4,-30,16,-15,21,0.0,1
25,20,-22,55,40,45,0.0,1
-110,15,30,15,50,44,0.0,1
-30,-30,20,20,120,0,0.0,0
29,3,-23,-34,-29,-27,0.0,1
-30,-50,-20,35,-10,-10,1.0,0
94,36,-30,-9,-20,20,0.0,1
-20,-40,-61,-42,-38,-10,0.0,0
0,20,36,40,26,20,0.0,0
49,36,70,55,70,100,0.0,1
-75,35,10,-50,10,30,-1.0,0
0,30,13,-45,30,7,0.0,0
-45,-110,-30,-110,-30,-35,0.0,0
19,18,-5,26,15,12,0.0,1
-105,-5,-40,-90,-25,55,0.0,1
-29,34,20,-30,15,10,0.0,0
35,-30,-21,35,9,15,0.0,1
40,24,46,91,34,15,0.0,1
-44,-70,-72,-38,-25,5,0.0,0
-86,9,-1,-14,51,-18,0.0,0
5,-50,-40,-45,0,-70,0.0,1
8,40,26,10,36,5,0.0,1
-46,-68,-28,-25,-30,-38,0.0,0
-5,30,-15,-25,5,-15,0.0,0
1,19,-5,-8,-35,-5,0.0,1
23,19,-1,50,26,28,1.0,1
45,80,10,25,40,34,0.0,1
-5,100,80,-5,-55,35,-1.0,0
-66,40,-2,-55,-67,20,0.0,1
-77,2,12,-4,-22,32,0.0,0
-58,6,32,-55,-35,-9,-1.0,0
19,-12,18,45,19,6,-1.0,1
50,99,67,59,44,47,0.0,1
10,-10,-55,-39,-59,-85,0.0,0
51,-20,-75,-30,-80,33,0.0,1
-70,20,-5,-60,-40,-10,0.0,0
-35,-30,5,60,55,-7,0.0,0
50,-25,5,20,10,5,0.0,1
55,-45,-90,45,26,11,0.0,0
85,69,12,-16,29,17,0.0,1
-54,-56,-35,-23,-12,-38,0.0,0
-27,-20,-13,-100,25,10,0.0,0
4,22,-5,-33,-10,11,0.0,1
-35,10,-20,-30,5,30,0.0,0
-70,-115,25,-35,-20,-80,0.0,0
7,52,60,60,-14,56,1.5,1
-11,66,35,-9,-15,25,0.0,0
-57,-50,8,-45,20,-27,0.0,0
-10,-50,5,25,15,-10,0.0,0
67,-37,0,43,0,12,0.0,1
-4,-45,35,-45,35,4,0.0,0
43,39,36,39,36,41,-1.5,1
15,8,43,91,39,23,0.0,1
-85,-35,-45,-150,-75,-15,0.0,0
-32,-39,-13,6,42,36,0.0,0
35,-10,10,55,55,10,0.0,1
25,40,45,5,15,10,0.0,1
-12,55,23,30,-23,16,0.0,0
40,111,65,5,55,21,0.0,0
18,15,-49,60,-29,20,0.0,1
-75,-35,-35,-50,-25,-35,0.0,0
-23,-75,-57,-15,-32,-20,0.0,0
10,-32,-13,-4,9,-15,0.0,1
48,-13,-25,55,30,40,0.0,1
25,-78,-30,-60,-25,-70,0.0,0
43,12,0,-13,-35,-60,0.0,1
7,-2,85,32,40,-20,0.0,1
25,35,95,14,44,35,0.0,1
19,51,51,41,44,-24,0.0,1
-1,-28,-23,-32,-12,-54,0.0,0
30,-45,21,30,86,33,0.0,1
5,-3,-25,72,25,5,1.0,1
0,-70,-70,35,-15,-15,0.0,0
75,-7,-88,78,-18,10,0.0,1
15,55,9,75,9,-3,0.0,1
30,33,-7,43,-7,80,0.0,1
-3,16,-10,2,0,25,0.0,0
-73,-44,-5,-7,-25,4,1.0,0
40,-30,5,0,-45,0,0.0,1
-60,35,20,-40,-70,5,0.0,0
-7,25,77,-34,33,-11,0.0,0
25,150,128,100,38,60,0.0,1
-14,-13,-25,-25,-21,-22,0.0,0
11,19,35,24,55,-10,0.0,1
8,0,5,80,35,-28,0.0,1
-42,-66,-34,38,36,34,0.0,0
60,10,-55,15,25,10,0.0,1
30,5,-45,-25,50,-25,0.0,1
45,60,23,32,65,45,1.0,1
40,10,-80,60,40,80,0.0,1
-35,-130,-78,-30,-58,-70,0.0,0
5,10,80,30,100,55,0.0,1
-21,23,18,-2,18,10,0.0,0
36,0,-20,-5,-30,14,0.0,1
4,-36,-74,-34,-24,-47,0.0,1
19,18,19,5,70,4,0.0,1
0,25,50,-5,65,15,0.0,0
30,60,40,-5,40,35,0.0,1
11,17,-8,32,2,-154,0.0,1
-105,-50,-60,-134,-60,-34,0.0,0
-80,-155,-70,-134,-80,-66,0.0,0
88,52,25,89,25,56,0.0,1
-70,0,35,60,20,40,1.0,1
-45,-45,-11,15,-11,-37,1.0,0
15,-33,-18,-20,-38,-33,0.0,1
-69,6,33,-51,-21,1,0.0,0
11,-30,-15,10,15,9,0.0,1
-67,-25,42,-85,-5,10,0.0,0
0,-20,-20,10,-10,-5,0.0,0
-8,65,28,0,65,40,0.0,0
35,15,15,35,45,35,0.0,1
-46,5,-27,-55,-22,10,0.0,0
16,-45,47,-45,-23,-30,0.0,1
1,71,69,-7,-37,-18,0.0,1
-59,-24,-17,-69,-30,-10,1.5,0
14,22,69,3,43,44,0.0,1
-90,-15,-10,-40,-35,30,0.0,0
10,-25,-25,25,15,-52,0.0,1
51,119,115,75,90,55,0.0,1
0,45,15,-2,10,37,0.0,0
-20,10,-10,-55,-10,-15,0.0,0
-45,5,14,-5,-16,12,0.0,0
9,40,50,70,98,27,0.0,1
-32,37,18,-28,13,18,0.0,0
10,0,-35,25,15,-20,0.0,1
110,100,15,119,55,61,0.0,1
0,-10,50,-10,-90,-30,0.0,0
-30,-25,40,-20,-5,15,0.0,0
0,85,180,-70,35,10,0.0,0
-40,15,0,-115,-40,20,0.0,0
-18,-33,5,-13,50,2,0.0,0
-2,-47,-15,60,35,-35,1.0,0
-40,25,20,-40,-50,-45,0.0,0
-28,-90,-20,12,-5,-70,0.0,0
-35,23,-105,0,-105,40,0.0,0
-41,30,12,-43,29,23,0.0,0
41,15,5,62,12,26,0.0,1
-44,-10,-35,-43,-38,6,0.0,0
-3,11,13,41,21,65,0.0,0
18,32,40,60,62,35,0.0,1
5,-15,35,-28,-7,-12,0.0,1
38,27,-70,99,45,56,1.0,1
-91,-10,47,-87,-10,15,0.0,0
-34,14,35,-11,25,0,0.0,0
120,10,10,10,-5,-80,0.0,1
44,7,9,34,20,15,1.5,1
9,35,-37,-45,-37,30,0.0,1
25,70,60,25,15,15,0.0,1
110,84,32,9,39,27,-1.0,1
-120,-125,1,10,-39,-28,0.0,0
10,-25,5,15,40,5,0.0,1
42,23,13,-19,-7,-63,0.0,1
10,7,32,29,67,36,0.0,1
-90,30,25,10,20,15,0.0,1
-13,-25,-25,1,-41,-42,0.0,0
106,165,55,87,45,30,0.0,1
-21,-15,-5,-51,-32,-6,0.0,0
-7,34,11,39,6,11,0.0,0
12,42,30,25,30,40,0.0,1
-57,4,-10,-63,-10,0,0.0,0
-60,-69,-60,-99,-80,-32,0.0,0
-14,0,27,-25,27,0,0.0,0
-15,-5,25,60,30,15,0.0,0
-11,30,-5,28,-2,4,0.0,0
-2,11,-5,-54,-25,10,0.0,0
45,54,-28,14,-36,6,0.0,1
70,95,80,60,20,35,0.0,1
-21,70,93,5,28,39,0.0,0
85,35,10,105,30,35,0.0,1
13,30,14,-26,-2,5,-1.5,1
-43,-21,9,1,29,48,-1.0,0
-20,30,51,50,46,-15,0.0,0
-12,-43,-35,-23,-45,-45,0.0,0
79,31,40,68,27,-7,0.0,1
5,65,12,-42,-94,32,0.0,1
-4,5,12,-17,-21,5,0.0,0
60,-45,0,-40,-35,-15,0.0,0
81,53,43,53,38,-40,0.0,1
14,-15,-11,-12,-20,-25,0.0,1
-5,-15,5,34,9,0,0.0,0
34,15,-10,45,10,-14,0.0,1
-40,-68,-5,-38,5,10,-1.5,0
-44,33,30,-6,-15,22,-1.5,0
39,71,35,71,38,66,0.0,1
-18,-17,-3,47,15,4,0.0,0
-86,-97,-82,-63,-28,-19,0.0,0
-55,-95,-18,-94,-18,-26,0.0,0
42,3,-105,51,33,-15,0.0,1
-25,30,55,35,35,55,0.0,0
25,-2,25,31,35,22,0.0,1
-63,34,45,29,10,-10,0.0,0
-5,-55,-40,0,0,30,0.0,0
-60,25,35,-45,-5,-15,0.0,0
-32,-23,-25,-52,-25,-12,0.0,0
-7,-34,0,52,30,41,0.0,0
-70,-57,-32,-60,-50,-26,0.0,0
-40,-20,-37,-88,-88,-54,0.0,0
-1,-4,5,-4,-20,5,0.0,0
27,-25,68,-22,49,-48,0.0,1
76,-18,-61,7,64,17,1.5,1
2,29,5,39,-5,-5,0.0,1
-43,5,68,10,-35,35,-1.5,0
50,10,0,-50,35,35,0.0,1
20,56,-25,56,10,43,0.0,1
-2,3,20,-25,0,9,0.0,0
-54,-26,30,14,40,10,-1.0,0
0,-50,0,10,20,-30,0.0,0
-5,44,14,34,64,14,0.0,0
-25,-50,0,-15,-25,5,0.0,0
10,-76,-80,-36,-36,-70,0.0,1
-40,-20,-100,0,-30,-25,0.0,0
22,10,-27,2,-18,-24,0.0,1
-35,-10,-116,-30,-106,-15,0.0,0
-63,-37,2,-50,-18,-19,-1.5,0
-40,-71,-49,21,-51,0,0.0,0
-34,-22,-42,-35,-40,-32,0.0,0
25,139,120,100,25,62,0.0,1
-40,-120,-80,-65,-80,-70,1.5,0
-2,-52,-5,-97,-68,-45,0.0,0
0,-10,0,40,35,20,0.0,0
-35,-20,0,-70,-40,-60,0.0,0
7,13,-11,36,54,-1,0.0,1
-13,5,-10,4,10,-10,0.0,0
5,-10,-15,50,25,-15,0.0,1
-52,-55,-26,-126,-52,-75,0.0,0
20,5,-5,50,40,-50,0.0,1
2,20,18,-30,18,3,0.0,1
5,-3,-22,45,45,10,0.0,1
14,32,15,70,5,25,0.0,1
35,-75,-90,-10,-20,-40,0.0,1
-65,20,30,-20,-20,15,-1.0,0
-48,-22,-36,-49,4,-26,0.0,0
-10,15,15,-10,10,10,0.0,0
7,53,-20,-4,-20,-16,0.0,1
85,-5,-25,-95,-30,-5,0.0,1
-66,-20,10,27,15,36,0.0,0
-20,50,106,5,-5,24,0.0,0
21,28,33,-53,27,34,0.0,1
-71,17,13,-44,-1,9,1.5,1
-43,-15,-62,46,2,12,0.0,0
-30,35,25,-30,-10,-5,0.0,0
-8,9,35,14,45,24,0.0,0
35,35,0,-40,-10,1,1.5,1
44,65,92,18,-5,15,0.0,1
25,-45,-55,40,0,-40,0.0,0
29,-13,12,49,49,-11,0.0,1
53,-79,-53,-10,-3,0,0.0,0
8,2,25,49,-30,11,0.0,1
-35,75,62,-57,-99,37,0.0,1
-30,-64,-12,11,16,-46,0.0,0
-62,-65,-50,-61,-27,-30,0.0,0
-15,-100,-100,-60,-50,-45,0.0,0
-60,-40,10,-100,-50,40,0.0,0
10,60,15,-10,-20,-39,0.0,1
42,-87,-142,-14,-4,-65,0.0,0
-42,-7,-6,-10,7,45,0.0,0
94,-16,0,36,25,6,0.0,1
-27,65,-30,-57,-48,-3,-1.0,0
-49,-18,30,9,33,-7,1.5,1
35,90,30,0,30,60,0.0,1
34,85,50,75,119,66,0.0,1
14,-31,-46,29,44,-11,0.0,1
20,1,-21,19,31,0,0.0,1
41,-12,-27,13,-27,-25,-1.5,1
-52,-25,-30,-65,-30,-50,0.0,0
18,29,-47,-50,-35,-46,0.0,1
-100,-21,9,-35,5,-35,0.0,0
-70,65,10,-45,-20,45,0.0,1
-74,-7,4,-60,-5,-15,0.0,0
10,30,-5,30,-20,5,0.0,1
-26,-35,-50,-70,0,-24,0.0,0
65,60,70,35,30,35,0.0,1
49,-90,-29,100,-35,-35,0.0,1
-24,-8,2,-5,0,30,0.0,0
35,10,21,85,51,25,0.0,1
0,30,-45,-5,-15,20,0.0,0
5,5,-45,-50,-45,-52,0.0,1
34,-16,-30,-4,-15,-4,0.0,0
37,-32,-134,11,4,-50,0.0,1
15,-3,17,-6,67,11,0.0,1
-75,-35,15,-90,-45,-15,0.0,0
-63,0,70,10,15,-25,0.0,0
81,32,22,9,4,33,1.5,1
10,-35,-65,60,30,-15,0.0,1
-46,-68,20,-18,-50,-20,0.0,0
10,-40,20,-25,20,10,0.0,1
11,32,-1,-24,8,3,0.0,1
5,5,-45,60,30,15,0.0,1
4,9,80,31,95,26,0.0,1
5,-10,10,50,30,15,0.0,1
60,-15,-5,10,-35,-25,1.5,1
55,76,25,60,15,29,0.0,1
-64,-52,-50,-42,50,183,0.0,0
35,10,40,40,40,25,1.5,1
26,25,5,35,5,-25,0.0,1
-36,-45,-50,-80,-60,-39,0.0,0
26,19,6,19,-4,9,0.0,1
-11,-71,-18,3,-17,-39,1.0,0
50,65,60,65,45,65,0.0,1
10,0,0,40,70,-25,0.0,1
17,13,-56,-7,-11,-18,0.0,1
10,-60,30,20,30,5,0.0,1
-55,-40,-10,-25,-15,-15,0.0,0
0,-90,-35,-15,55,-70,0.0,0
20,-5,2,-5,-13,-5,0.0,1
-16,-11,-11,-88,-54,25,0.0,0
78,40,74,15,7,46,0.0,1
-5,13,-55,-27,-55,14,0.0,0
12,56,-36,11,-51,13,0.0,1
-68,-52,33,-12,0,-76,0.0,0
20,13,10,28,35,10,0.0,1
5,10,-35,-70,-80,-75,1.5,1
-25,-55,-60,-70,-80,-60,0.0,0
50,-5,5,15,55,60,0.0,1
-2,3,18,-15,-2,-11,0.0,0
3,3,-8,-9,-9,0,0.0,1
-25,33,27,15,20,26,0.0,0
15,25,-15,45,-15,15,0.0,1
-15,-28,-3,-35,-5,-29,0.0,0
-14,-15,-30,-37,-63,-15,0.0,0
15,37,39,46,36,39,-1.5,1
-49,-36,-15,0,-5,10,0.0,0
77,22,65,45,17,36,0.0,1
-18,-11,-42,-36,-52,-51,0.0,0
20,26,27,45,25,32,0.0,1
11,-21,-15,17,28,34,-1.0,1
-52,-54,10,-25,-40,-45,0.0,0
0,110,25,55,15,10,0.0,0
48,20,17,103,78,2,0.0,1
68,95,50,25,70,10,0.0,1
-11,-15,-20,-5,15,-18,0.0,0
27,30,116,41,-3,0,0.0,1
30,-35,-55,-65,-55,-45,0.0,1
10,35,15,20,10,15,0.0,1
20,5,10,-30,25,0,0.0,1
9,85,3,15,3,45,0.0,1
45,30,20,0,0,20,0.0,1
-42,-60,-31,-60,-50,-32,0.0,0
5,25,-65,65,-60,40,0.0,1
15,-20,20,20,25,10,0.0,1
14,-25,-61,0,2,0,0.0,0
-60,20,100,-65,-31,-16,0.0,0
31,50,19,45,105,65,0.0,1
63,96,-5,66,25,50,0.0,1
-27,95,10,-25,0,27,-1.0,0
-81,-78,-23,-78,-23,-25,0.0,0
-35,-55,-55,25,85,190,0.0,0
55,56,5,50,15,14,-1.0,1
15,-45,-30,-5,-30,-25,0.0,1
44,140,75,5,65,21,0.0,1
-42,-90,-25,-10,-60,-78,0.0,0
-25,-10,5,10,10,35,-1.0,0
-20,-45,-45,-25,-40,-40,0.0,0
-70,45,45,-45,-55,20,1.0,1
-13,20,136,11,17,25,0.0,0
-7,20,-5,0,-20,-13,0.0,0
37,-33,-40,-115,-65,-24,0.0,1
15,40,18,25,15,22,0.0,1
-21,28,-5,43,10,30,0.0,0
60,90,20,0,50,18,0.0,0
65,-15,-5,65,15,15,1.0,1
-20,25,-20,-10,-20,-5,0.0,0
-21,-15,20,25,60,21,-1.0,0
100,15,10,15,10,-30,0.0,1
45,95,25,70,10,55,0.0,1
-14,-90,-108,-50,-58,-55,-1.0,0
34,-58,-24,21,-44,-14,0.0,1
-50,-125,-95,-75,-65,-72,0.0,0
-2,20,25,20,75,2,0.0,0
-40,88,35,-20,-5,70,0.0,1
50,40,50,15,45,85,0.0,0
-30,-5,15,-10,10,10,1.0,0
-69,6,-11,-44,-29,-32,0.0,0
20,35,5,60,20,-5,0.0,1
-65,15,35,40,10,50,0.0,0
-50,-60,-40,-60,-25,-55,0.0,0
-50,-75,-75,-110,-40,-15,0.0,0
19,18,-57,45,-61,11,1.0,1
10,-4,15,10,10,19,0.0,1
-15,0,20,-35,-15,0,0.0,0
43,42,26,29,-14,26,0.0,1
-25,35,50,20,0,5,0.0,0
-10,35,40,30,30,85,-1.0,0
-14,40,57,-28,61,3,0.0,0
47,-2,0,95,45,20,0.0,1
-40,24,10,-5,10,9,0.0,0
-13,-60,-25,-90,-45,-37,0.0,0
-13,29,68,31,22,38,0.0,0
51,-20,22,40,42,-45,1.0,1
5,58,68,45,48,18,0.0,1
0,40,30,-20,10,35,0.0,0
-59,-41,15,-111,-15,-65,0.0,0
-40,-45,-62,-70,-36,-18,0.0,0
0,-35,-30,-75,-20,-50,1.0,0
-25,-27,5,-37,-35,-10,0.0,0
-17,27,12,-16,-6,-55,0.0,1
-30,10,5,-65,-35,-15,0.0,0
-2,-15,2,-2,13,-6,-1.5,0
12,-74,-131,-1,7,-25,0.0,1
11,124,135,60,85,80,0.0,1
0,25,-20,25,-15,65,0.0,0
-30,-45,-21,15,-32,-32,0.0,0
25,10,5,35,-10,20,0.0,1
20,-5,95,-35,95,-5,0.0,1
-84,-21,-10,-5,0,-10,0.0,0
-13,-57,5,-40,25,-8,0.0,0
-1,-10,-5,-42,8,-41,0.0,0
45,25,5,-5,-5,-5,0.0,1
89,-13,-75,17,-75,27,0.0,1
69,-13,-1,-1,31,-10,0.0,1
-85,-50,-45,-105,-45,-60,0.0,0
39,5,5,80,20,5,0.0,0
21,24,30,25,30,30,0.0,1
-80,-10,5,-95,45,10,0.0,0
-7,13,35,30,44,4,0.0,0
50,-130,-90,-70,-10,-40,-1.0,0
-15,-21,-19,20,-10,-40,0.0,0
0,20,-25,30,-45,5,0.0,0
7,-25,-24,26,1,-15,0.0,1
6,-57,-77,-4,-30,-48,0.0,1
-5,25,10,55,0,10,0.0,0
-17,-30,5,5,15,-10,0.0,0
60,-20,15,30,85,20,0.0,1
24,-34,30,45,-25,-10,0.0,1
37,-43,-78,-18,-10,1,0.0,1
5,80,55,75,35,85,0.0,1
-89,-56,-15,-21,-5,-20,0.0,0
51,60,30,35,20,54,1.0,1
-33,4,42,-46,-18,-29,0.0,0
40,-35,-35,50,110,200,0.0,0
34,35,34,-5,65,-8,0.0,1
-30,75,38,23,48,41,0.0,0
-35,27,10,-15,10,6,0.0,0
-30,35,70,5,4,-106,0.0,0
32,-10,-15,66,42,-5,1.5,1
5,100,35,30,-65,18,0.0,1
5,-5,-5,10,-15,5,0.0,1
14,-34,55,95,55,55,0.0,1
-5,-65,-78,-108,-63,-51,0.0,0
55,70,10,105,41,41,0.0,1
-95,-65,-30,-110,-50,-20,0.0,0
-45,5,-30,-35,-5,-30,0.0,0
-65,-30,30,-20,-30,-30,0.0,0
-10,-40,-65,-20,-10,-30,0.0,0
-50,15,-25,10,-15,50,0.0,0
35,-24,-63,10,-43,-35,0.0,1
25,20,9,20,13,43,0.0,1
45,-45,-40,-75,-45,-30,0.0,1
43,54,9,64,9,26,0.0,1
15,-15,-35,-5,-35,-15,0.0,1
26,-55,-48,-55,-48,-40,0.0,1
-31,-40,-21,-20,-27,-50,0.0,0
-8,-5,-105,-35,-105,-22,0.0,0
-10,-20,-13,60,40,-5,0.0,0
-2,-2,15,-45,-50,-36,0.0,0
-64,-19,-40,-73,-36,-29,-1.0,0
-20,10,-10,5,5,-10,0.0,0
-35,-65,-25,-70,40,-20,0.0,0
11,-11,-25,20,20,15,1.0,1
-13,20,9,-30,-6,-10,0.0,0
61,8,8,-44,-34,-21,0.0,1
10,-64,-50,25,-30,-44,0.0,1
30,10,-25,-50,-55,-40,0.0,1
-20,-5,-30,35,-35,-15,0.0,0
14,75,39,60,44,40,0.0,1
20,-5,31,40,76,-50,0.0,1
2,-3,-2,-62,-68,-27,-1.0,1
2,-3,3,-13,5,1,1.5,1
25,15,52,15,-10,10,0.0,1
-18,-23,-10,-70,-40,-14,0.0,0
3,42,-35,-20,10,20,0.0,1
15,-7,8,70,60,7,0.0,1
15,-90,55,-5,85,-45,0.0,0
64,31,20,106,60,45,0.0,1
60,108,2,78,12,70,0.0,1
70,40,35,85,40,32,0.0,1
-25,-10,10,25,20,20,0.0,0
-2,-11,-33,-60,-30,11,0.0,0
40,25,0,55,0,0,0.0,1
73,70,55,60,-5,-45,0.0,1
71,35,92,65,87,-40,0.0,1
115,35,45,70,75,-25,0.0,1
-60,15,35,-65,-55,-30,-1.0,0
-50,-30,25,-70,30,25,0.0,0
-60,-32,-15,-55,-15,15,0.0,0
0,14,-10,-20,-39,-8,0.0,0
-15,-2,-40,7,-30,-15,1.5,0
15,-30,-90,-55,-85,-15,0.0,0
45,20,0,-15,-10,-19,0.0,1
-10,-75,35,20,50,5,0.0,0
-25,-145,-55,0,-30,-35,0.0,0
15,40,25,75,85,45,0.0,1
96,88,-167,88,-167,55,0.0,1
10,-70,-125,-20,-5,-40,0.0,1
5,-10,-35,-45,20,-25,0.0,1
50,-10,2,-5,45,-15,0.0,1
3,-25,-43,-20,-15,-85,0.0,1
-25,-49,-25,50,5,-14,1.0,0
-10,-5,-2,-2,3,6,0.0,0
32,-41,-11,7,-16,-29,0.0,1
0,-35,-25,45,95,215,0.0,0
